"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comment"	"Fuller et al. (2007) Transcriptome analysis of human immune responses following live vaccine strain (LVS) Francisella tularensis vaccination. Mol. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694' target='_blank'>17349694</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response agents file"	"complete signature response agents file"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"PRKCH"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"PRKCH"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"KLF2"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"KLF2"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"NACA"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"NACA"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"STMN3"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"STMN3"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"GSPT1"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"GSPT1"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"F11R"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"F11R"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"F2R"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"F2R"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"UBE3A"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"UBE3A"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"RHOH"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"RHOH"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"PPP2R5C"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"PPP2R5C"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
